[2026-09-25T19:26:41.081Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgsAXHNk.woff2 → 200 (1ms, ?B)
[2026-09-25T19:30:08.392Z] GET http://127.0.0.1:8787/og-source.html → 200 (1ms, 3063B)
[2026-09-25T19:30:08.395Z] GET https://fonts.googleapis.com/css2?family=Barlow+Condensed:wght@600;700&family=DM+Sans:wght@400;500;700&family=IBM+Plex+Mono:wght@400;500&display=swap → 200 (44ms, 9269B)
[2026-09-25T19:30:08.395Z] GET http://127.0.0.1:8787/style.css → 200 (1ms, 33878B)
[2026-09-25T19:30:08.445Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B4873z3bWuYMBYro.woff2 → 200 (?ms, ?B)
[2026-09-25T19:30:08.445Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Yp2ywxg089UriI5-g4vlH9VoD8Cmcqbu0-K6z9mXg.woff2 → 200 (?ms, ?B)
[2026-09-25T19:30:08.445Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → 200 (?ms, ?B)
[2026-09-25T19:30:08.445Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgsAXHNk.woff2 → 200 (?ms, ?B)
[2026-09-25T19:30:08.445Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B46r2z3bWuYMBYro.woff2 → 200 (17ms, 14888B)
[2026-09-25T19:30:32.753Z] GET http://127.0.0.1:8787/index.html → 200 (1ms, 18333B)
[2026-09-25T19:30:32.759Z] GET https://fonts.googleapis.com/css2?family=Barlow+Condensed:wght@500;600;700&family=DM+Sans:wght@400;500;600;700&family=IBM+Plex+Mono:wght@400;500&display=swap → 200 (?ms, 11497B)
[2026-09-25T19:30:32.759Z] GET http://127.0.0.1:8787/style.css → 304 (?ms, ?B)
[2026-09-25T19:30:32.759Z] GET http://127.0.0.1:8787/script.js → 200 (1ms, 5056B)
[2026-09-25T19:30:32.761Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B4-Lwz3bWuYMBYro.woff2 → 200 (?ms, ?B)
[2026-09-25T19:30:32.761Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B4873z3bWuYMBYro.woff2 → 200 (?ms, ?B)
[2026-09-25T19:30:32.761Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Yp2ywxg089UriI5-g4vlH9VoD8Cmcqbu0-K6z9mXg.woff2 → 200 (1ms, ?B)
[2026-09-25T19:30:32.762Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → 200 (?ms, ?B)
[2026-09-25T19:30:32.762Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgsAXHNk.woff2 → 200 (?ms, ?B)
[2026-09-25T19:30:33.545Z] GET http://127.0.0.1:8787/event-01.html → 200 (1ms, 7819B)
[2026-09-25T19:30:33.548Z] GET https://fonts.googleapis.com/css2?family=Barlow+Condensed:wght@500;600;700&family=DM+Sans:wght@400;500;600;700&family=IBM+Plex+Mono:wght@400;500&display=swap → 200 (?ms, 11497B)
[2026-09-25T19:30:33.548Z] GET http://127.0.0.1:8787/style.css → 200 (?ms, 33878B)
[2026-09-25T19:30:33.549Z] GET http://127.0.0.1:8787/script.js → 200 (?ms, 5056B)
[2026-09-25T19:30:33.549Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B4-Lwz3bWuYMBYro.woff2 → 200 (?ms, ?B)
[2026-09-25T19:30:33.549Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B4873z3bWuYMBYro.woff2 → 200 (?ms, ?B)
[2026-09-25T19:30:33.550Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Yp2ywxg089UriI5-g4vlH9VoD8Cmcqbu0-K6z9mXg.woff2 → 200 (?ms, ?B)
[2026-09-25T19:30:33.550Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → 200 (?ms, ?B)
[2026-09-25T19:30:33.550Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgsAXHNk.woff2 → 200 (?ms, ?B)
[2026-09-25T19:30:33.559Z] GET http://127.0.0.1:8787/assets/muscatine-800.webp → 200 (?ms, 58002B)
[2026-09-25T19:30:34.340Z] GET http://127.0.0.1:8787/record.html → 200 (?ms, 6504B)
[2026-09-25T19:30:34.343Z] GET https://fonts.googleapis.com/css2?family=Barlow+Condensed:wght@500;600;700&family=DM+Sans:wght@400;500;600;700&family=IBM+Plex+Mono:wght@400;500&display=swap → 200 (?ms, 11497B)
[2026-09-25T19:30:34.343Z] GET http://127.0.0.1:8787/style.css → 200 (?ms, 33878B)
[2026-09-25T19:30:34.343Z] GET http://127.0.0.1:8787/script.js → 200 (?ms, 5056B)
[2026-09-25T19:30:34.344Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B4-Lwz3bWuYMBYro.woff2 → 200 (?ms, ?B)
[2026-09-25T19:30:34.344Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B4873z3bWuYMBYro.woff2 → 200 (?ms, ?B)
[2026-09-25T19:30:34.344Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Yp2ywxg089UriI5-g4vlH9VoD8Cmcqbu0-K6z9mXg.woff2 → 200 (?ms, ?B)
